user,employer,category1,category2,user_tone,audience_tone,qualified
GovAbbott,"CSPAN, Governor",politics,,unknown,unknown,0
MassGovernor,"CSPAN, Governor",politics,,unknown,unknown,0
JohnKasich,"CSPAN, Governor",politics,,unknown,unknown,0
BobbyJindal,"CSPAN, Governor",politics,,unknown,unknown,0
BobMcDonnell,"CSPAN, Governor",politics,,unknown,unknown,0
neilabercrombie,"CSPAN, Governor",politics,,unknown,unknown,0
SenHydeSmith,"CSPAN, Senator",politics,,unknown,unknown,0
SenDougJones,"CSPAN, Senator",politics,,unknown,unknown,0
SenTinaSmith,"CSPAN, Senator",politics,,unknown,unknown,0
SenJohnKennedy,"CSPAN, Senator",politics,,unknown,unknown,0
SenCortezMasto,"CSPAN, Senator",politics,,unknown,unknown,0
SenKamalaHarris,"CSPAN, Senator",politics,,unknown,unknown,0
SenThomTillis,"CSPAN, Senator",politics,,unknown,unknown,0
SenSasse,"CSPAN, Senator",politics,,unknown,unknown,0
SenatorRounds,"CSPAN, Senator",politics,,unknown,unknown,0
SenDanSullivan,"CSPAN, Senator",politics,,unknown,unknown,0
sendavidperdue,"CSPAN, Senator",politics,,unknown,unknown,0
SenJoniErnst,"CSPAN, Senator",politics,,unknown,unknown,0
SenBrianSchatz,"CSPAN, Senator",politics,,unknown,unknown,0
senatemajldr,"CSPAN, Senator",politics,,unknown,unknown,0
MartinHeinrich,"CSPAN, Senator",politics,,unknown,unknown,0
SenatorRisch,"CSPAN, Senator",politics,,unknown,unknown,0
SenatorBaldwin,"CSPAN, Senator",politics,,unknown,unknown,0
SenTedCruz,"CSPAN, Senator",politics,,unknown,unknown,0
SenatorFischer,"CSPAN, Senator",politics,,unknown,unknown,0
SenAngusKing,"CSPAN, Senator",politics,,unknown,unknown,0
SenatorHeitkamp,"CSPAN, Senator",politics,,unknown,unknown,0
SenDuckworth,"CSPAN, Senator",politics,,unknown,unknown,0
SenWarren,"CSPAN, Senator",politics,,unknown,unknown,0
SenTomCotton,"CSPAN, Senator",politics,,unknown,unknown,0
SenatorHassan,"CSPAN, Senator",politics,,unknown,unknown,0
MikeCrapo,"CSPAN, Senator",politics,,unknown,unknown,0
SenatorTester,"CSPAN, Senator",politics,,unknown,unknown,0
SenJackReed,"CSPAN, Senator",politics,,unknown,unknown,0
SenFeinstein,"CSPAN, Senator",politics,,unknown,unknown,0
SenCoonsOffice,"CSPAN, Senator",politics,,unknown,unknown,0
LindseyGrahamSC,"CSPAN, Senator",politics,,unknown,unknown,0
SenJohnHoeven,"CSPAN, Senator",politics,,unknown,unknown,0
McConnellPress,"CSPAN, Senator",politics,,unknown,unknown,0
IndianCommittee,"CSPAN, Senator",politics,,unknown,unknown,0
SenJohnThune,"CSPAN, Senator",politics,,unknown,unknown,0
PattyMurray,"CSPAN, Senator",politics,,unknown,unknown,0
SenatorEnzi,"CSPAN, Senator",politics,,unknown,unknown,0
SenBlumenthal,"CSPAN, Senator",politics,,unknown,unknown,0
EnergyDems,"CSPAN, Senator",politics,,unknown,unknown,0
SASCMajority,"CSPAN, Senator",politics,,unknown,unknown,0
SenDeanHeller,"CSPAN, Senator",politics,,unknown,unknown,0
SenatorWicker,"CSPAN, Senator",politics,,unknown,unknown,0
senorrinhatch,"CSPAN, Senator",politics,,unknown,unknown,0
RonWyden,"CSPAN, Senator",politics,,unknown,unknown,0
SenatorCarper,"CSPAN, Senator",politics,,unknown,unknown,0
SenatorDurbin,"CSPAN, Senator",politics,,unknown,unknown,0
SenatorLeahy,"CSPAN, Senator",politics,,unknown,unknown,0
SenWhitehouse,"CSPAN, Senator",politics,,unknown,unknown,0
SenGaryPeters,"CSPAN, Senator",politics,,unknown,unknown,0
SenCoryGardner,"CSPAN, Senator",politics,,unknown,unknown,0
Sen_JoeManchin,"CSPAN, Senator",politics,,unknown,unknown,0
SenToddYoung,"CSPAN, Senator",politics,,unknown,unknown,0
SenRonJohnson,"CSPAN, Senator",politics,,unknown,unknown,0
SenateAgDems,"CSPAN, Senator",politics,,unknown,unknown,0
SenatorLankford,"CSPAN, Senator",politics,,unknown,unknown,0
SenBennetCO,"CSPAN, Senator",politics,,unknown,unknown,0
SenToomey,"CSPAN, Senator",politics,,unknown,unknown,0
SenatorTimScott,"CSPAN, Senator",politics,,unknown,unknown,0
RandPaul,"CSPAN, Senator",politics,,unknown,unknown,0
SenDonnelly,"CSPAN, Senator",politics,,unknown,unknown,0
SenJohnBarrasso,"CSPAN, Senator",politics,,unknown,unknown,0
SenCapito,"CSPAN, Senator",politics,,unknown,unknown,0
timkaine,"CSPAN, Senator",politics,,unknown,unknown,0
SenateBudget,"CSPAN, Senator",politics,,unknown,unknown,0
SenBobCasey,"CSPAN, Senator",politics,,unknown,unknown,0
ChrisMurphyCT,"CSPAN, Senator",politics,,unknown,unknown,0
SenatorCantwell,"CSPAN, Senator",politics,,unknown,unknown,0
