user_id,screen_name,created_at,status_id,ratio,ratio_inv,favorite_count,retweet_count,reply_count,text,timestamp_scrape
858716964,PFTCommenter,2018-11-10T21:47:45Z,1.06E+18,0.5,2,2,0,1,@UncleClickBait @AdamSchefter Peterman is imovable object because hes literaly untradeable. Mccown has power of no nut november which is a force to be reckon with,2018-11-11T08:45:00Z
43139414,RealSkipBayless,2018-11-10T20:51:49Z,1.06E+18,0.056942367,17.56161616,7433,1260,495,"I love the Jimmy Butler trade for the Sixers. Now that Philly has 3 of the top 6 players in the East - including the East's best player, Joel Embiid, who made a stunningly clutch 19 of 22 FTs last night - I give the Sixers a very good shot at playing Golden State in the Finals.",2018-11-11T08:45:00Z
16302242,stephenasmith,2018-11-10T21:14:45Z,1.06E+18,0.022868313,43.72862958,24760,7468,737,Ohhhhh yeaaaaaaaahhhhhh. @JimmyButler to Philly!!!!!!! https://t.co/VHgNtLl73J,2018-11-11T08:45:00Z
