user_id,screen_name,created_at,status_id,ratio,ratio_inv,favorite_count,retweet_count,reply_count,text,timstamp_scrape
858716964,PFTCommenter,2018-11-11T15:30:46Z,1061642396369371100,NA,NA,1446,99,NA,"How are YOU getting ready for NFL Sunday? Im questoning Dez Bryants leadership since none of his teamates puked on the feild after his injury. Its called Throw Up the X, not clap it up for the X",NA
43139414,RealSkipBayless,2018-11-11T05:32:50Z,1061491920281587700,NA,NA,3707,1087,NA,Luke Walton is ruining Lonzo Ball.,NA
16302242,stephenasmith,2018-11-11T14:18:41Z,1061624257812271100,NA,NA,1297,192,NA,Nice to see that my man @michaelirvin88 is out of hiding. I see you on @nflnetwork right now....just in time to watch those @dallascowboys get waxed tonight by the @Eagles. You know it’s coming. Brace yourself :-),NA
