user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text,reply_count,ratio,ratio_inv,timestamp_scrape
x43139414,RealSkipBayless,2018-11-12T03:56:45Z,x1061830128609636352,474,66,HE'S GOING TO THROW IT TO ERTZ ALMOST EVERY CRUCIAL TIME. DOUBLE HIM. FORCE WINCE TO GO ELSEWHERE.,84,0.155555556,6.428571429,2018-11-12T16:44:00Z
x43139414,RealSkipBayless,2018-11-12T03:45:06Z,x1061827197839695872,540,99,"LeBron, only 1 rebound, 1 assist at halftime as Lakers trail Hawks by 1. Mind must be on Cowboys-Eagles.",98,0.153364632,6.520408163,2018-11-12T16:44:00Z
x43139414,RealSkipBayless,2018-11-12T03:53:10Z,x1061829226553257985,247,28,Eagles receivers make so many good grabs of wild throws.,42,0.152727273,6.547619048,2018-11-12T16:44:00Z
x43139414,RealSkipBayless,2018-11-12T03:55:29Z,x1061829809230176257,225,25,"THIS IS WAY TOO EASY. COME ON, DEFENSE, OFFENSE GAVE YOU SOME FRONT TO RUN WITH.",38,0.152,6.578947368,2018-11-12T16:44:00Z
x43139414,RealSkipBayless,2018-11-12T01:12:40Z,x1061788837754499073,785,163,"Wrong place, wrong time for the Cowboys. I just can't make any case for them this time. #FlyEaglesFly 34-10. FireJerryFire Jason Garrett.",140,0.147679325,6.771428571,2018-11-12T16:44:00Z
x43139414,RealSkipBayless,2018-11-12T04:03:03Z,x1061831715906191370,228,17,Worth a try. I'll take an overthrow vs an underthrow.,36,0.146938776,6.805555556,2018-11-12T16:44:00Z
x43139414,RealSkipBayless,2018-11-12T04:00:27Z,x1061831059904462849,169,16,He caught it.,26,0.140540541,7.115384615,2018-11-12T16:44:00Z
x43139414,RealSkipBayless,2018-11-12T04:01:03Z,x1061831213852192768,185,12,"Our ""Ertz"" from Stanford finally caught one and made a little play.",27,0.137055838,7.296296296,2018-11-12T16:44:00Z
x43139414,RealSkipBayless,2018-11-12T03:33:51Z,x1061824368420868096,256,29,Jordan Matthews of Vanderbilt University should be catching passes from Tom Brady.,39,0.136842105,7.307692308,2018-11-12T16:44:00Z
x43139414,RealSkipBayless,2018-11-12T02:05:21Z,x1061802093231525888,335,60,"Unreal: The Cowboys go for it on 4th and short, as they should have, and Swaim flinches and false starts. That's a losing play by a 3-5 team ... which gives new life to Philly, which busts a big play. Just hard to watch.",54,0.136708861,7.314814815,2018-11-12T16:44:00Z
