x43139414,RealSkipBayless,2018-11-12T16:44:35Z,x1062023362061328390,78,12,Why I had a problem with Tyreek Hill's TD celebration. Next on @undisputed,48,0.5333333333333333,1.875,2018-11-12T16:44:00Z
x43139414,RealSkipBayless,2018-11-12T16:31:12Z,x1062019994429480962,225,17,Why I still like the Cowboys to win the NFC East (by default). Next on @undisputed,107,0.44214876033057854,2.2616822429906542,2018-11-12T16:44:00Z
x43139414,RealSkipBayless,2018-11-12T03:37:52Z,x1061825377201319936,376,38,If only Dallas had an Ertz. Or a Dallas Goedert.,151,0.3647342995169082,2.7417218543046356,2018-11-12T16:44:00Z
x43139414,RealSkipBayless,2018-11-12T15:59:45Z,x1062012078381195265,140,15,No way the Pats get back to the Super Bowl? Next on @undisputed,56,0.36129032258064514,2.7678571428571432,2018-11-12T16:44:00Z
x43139414,RealSkipBayless,2018-11-12T04:59:25Z,x1061845900157308929,1336,265,Tyson Chandler just got away with a goal-tend on Trae Young's last scoop shot.,573,0.3579013116801999,2.794066317626527,2018-11-12T16:44:00Z
x43139414,RealSkipBayless,2018-11-12T15:41:10Z,x1062007401316929537,160,11,Why I give Dak the bulk of the credit for last night's win at Philly. Next on @undisputed,56,0.32748538011695905,3.053571428571429,2018-11-12T16:44:00Z
x43139414,RealSkipBayless,2018-11-12T03:12:57Z,x1061819105794093056,880,82,If only Dak had an Ertz.,287,0.2983367983367983,3.35191637630662,2018-11-12T16:44:00Z
x43139414,RealSkipBayless,2018-11-11T20:49:43Z,x1061722663024881665,709,135,Shannon Sharpe says Belichick deserves 75% of the credit for the NE dynasty. Yet his defenses keep getting torched. Last yr's SBowl. At Jax. At Det. KC at home. And now 34 points to Tenn with 7 mins left.,221,0.2618483412322275,3.8190045248868776,2018-11-12T16:44:00Z
x43139414,RealSkipBayless,2018-11-12T01:27:57Z,x1061792683457314816,557,63,How many times this season has Dak had to start inside his 10???,148,0.23870967741935484,4.1891891891891895,2018-11-12T16:44:00Z
x43139414,RealSkipBayless,2018-11-12T14:56:24Z,x1061996137781940225,269,23,Why yesterday wasn’t Brady’s fault. And why Brees is now the NFL’s MVP. Next on @undisputed,68,0.2328767123287671,4.294117647058823,2018-11-12T16:44:00Z
x43139414,RealSkipBayless,2018-11-12T02:29:39Z,x1061808212041641984,401,67,"Dak doesn't have much protection, hasn't had a receiver who can get open (pre-Amari), hasn't had a consistent run game or play calling ... and his confidence is crumbling. He's getting double-pumping hesitant and gunshy.",106,0.2264957264957265,4.415094339622642,2018-11-12T16:44:00Z
x43139414,RealSkipBayless,2018-11-11T19:31:56Z,x1061703088027840513,508,103,The defense coached by the genius Belichick has allowed 24 points in the 1st half at Tenn. At least the Cowboys allowed only 28 total. Brady has by far the highest degree of difficulty of any MVP candidate.,134,0.2193126022913257,4.559701492537313,2018-11-12T16:44:00Z
x43139414,RealSkipBayless,2018-11-12T14:24:07Z,x1061988013981351937,367,33,Shannon Sharpe is about to get an earful about my Cowboys. @undisputed. 9:30 AM ET. FS1,84,0.21,4.761904761904762,2018-11-12T16:44:00Z
x43139414,RealSkipBayless,2018-11-12T16:54:14Z,x1062025791909715969,157,26,"I tried to feed the fires of overconfidence in Philadelphia. The Eagles front-run, and right on schedule they fall on their faces. More @Undisputed, now on FS1 https://t.co/HSWboLM2UZ",38,0.20765027322404372,4.815789473684211,2018-11-12T16:44:00Z
x43139414,RealSkipBayless,2018-11-11T20:40:05Z,x1061720240608821248,272,41,"Even scarier for Brady, Julian Edelman just doesn't have uncoverable burst he had before his knee injury.",63,0.2012779552715655,4.968253968253968,2018-11-12T16:44:00Z
x43139414,RealSkipBayless,2018-11-12T02:23:48Z,x1061806738981060610,375,54,I will be surprised if the Cowboys get 7 points out of this.,86,0.20046620046620048,4.988372093023256,2018-11-12T16:44:00Z
